name,position,image
Macky Daus,Co-founder | Chief Innovations Officer,https://macanne.co.uk/wp-content/uploads/2024/09/4-640x640.png
Darren Dario,Co-founder | Chief Cloud Officer,https://macanne.co.uk/wp-content/uploads/2024/09/5-1-640x640.png
Antonette Aquino,Co-founder | Chief Correspondent,https://macanne.co.uk/wp-content/uploads/2024/09/1-1-640x640.png
Jazz Pineda,Co-founder | Chief Marketing Officer,https://macanne.co.uk/wp-content/uploads/2024/09/8-640x640.png
Lyia Tan-Powers,US and LatAm Operations,https://macanne.co.uk/wp-content/uploads/2024/09/13-640x640.png
Mich De Joya,Business and Compliance Affiars,https://macanne.co.uk/wp-content/uploads/2024/09/3-640x640.png
Lauren Connolly,EU Operations,https://macanne.co.uk/wp-content/uploads/2024/09/9-640x640.png
Yanran Xiao,EU Business and Compliance,https://macanne.co.uk/wp-content/uploads/2024/09/11-640x640.png
Anika Madrid,Cloud Operations ,https://macanne.co.uk/wp-content/uploads/2024/09/12-640x640.png
Jan Dimaculangan,Digital Media Operations,https://macanne.co.uk/wp-content/uploads/2024/09/7-640x640.png
Jelli Gando,Creative Operations,https://macanne.co.uk/wp-content/uploads/2024/09/10-640x640.png
Lora Sanchez,APAC Operations (Dauschmann® Apprentice),https://macanne.co.uk/wp-content/uploads/2024/09/Untitled-design-22-640x640.png
Axell Balawitan,Senior Cloud Associate,https://macanne.co.uk/wp-content/uploads/2024/09/6-640x640.png
Celina Dylim,Creative Associate,https://macanne.co.uk/wp-content/uploads/2024/09/14-640x640.png
Chloe Tan,Brand Advocate,https://macanne.co.uk/wp-content/uploads/2024/09/Untitled-design-13-640x640.png
Rizelle Galves,Communications Manila,https://macanne.co.uk/wp-content/uploads/2024/09/Untitled-design-13-640x640.png
Robyn Murphy-Walsh,Communications Dublin,https://macanne.co.uk/wp-content/uploads/2024/09/Untitled-design-13-640x640.png
Joshua Phelps,Careers Global Associate,https://macanne.co.uk/wp-content/uploads/2024/09/Untitled-design-13-640x640.png
Spencer Nguyen,Communications Singapore,https://macanne.co.uk/wp-content/uploads/2024/09/Untitled-design-13-640x640.png
